AD,ZipCodes
AD01,"89439,95568,95602,95603,95631,95701,95703,95713,95714,95715,95717,95722,95724,95728,95910,95915,95916,95922,95923,95928,95930,95934,95936,95941,95942,95944,95945,95946,95947,95949,95954,95956,95959,95960,95965,95966,95969,95971,95973,95975,95977,95978,95980,95981,95983,95984,95986,96001,96002,96003,96006,96007,96008,96009,96011,96013,96014,96015,96016,96017,96019,96020,96022,96023,96025,96027,96028,96031,96032,96033,96034,96037,96038,96039,96040,96044,96047,96050,96051,96054,96056,96057,96058,96059,96062,96064,96065,96067,96068,96069,96071,96073,96075,96076,96084,96085,96086,96087,96088,96089,96094,96095,96096,96097,96101,96103,96104,96105,96106,96108,96109,96110,96111,96112,96113,96114,96115,96116,96117,96118,96119,96121,96122,96123,96124,96125,96126,96128,96129,96130,96132,96134,96135,96136,96137,96140,96141,96142,96143,96145,96146,96148,96161,97635"
AD02,"94515,94922,94923,94972,95401,95403,95404,95405,95409,95410,95412,95415,95417,95418,95419,95420,95421,95425,95427,95428,95429,95432,95436,95437,95439,95441,95444,95445,95446,95448,95449,95450,95452,95454,95456,95459,95460,95462,95463,95465,95466,95468,95469,95470,95471,95472,95480,95481,95482,95486,95488,95490,95492,95494,95497,95501,95502,95503,95511,95514,95519,95521,95524,95525,95526,95527,95528,95531,95536,95537,95540,95542,95543,95545,95546,95547,95548,95549,95550,95551,95552,95553,95554,95555,95556,95558,95559,95560,95562,95563,95564,95565,95567,95568,95569,95570,95571,95573,95585,95587,95589,95595,96010,96024,96041,96046,96048,96052,96076,96091,96093"
AD03,"95626,95645,95659,95668,95674,95676,95692,95837,95901,95903,95913,95914,95917,95918,95919,95920,95922,95925,95926,95928,95932,95935,95938,95939,95941,95942,95943,95948,95951,95953,95954,95955,95957,95958,95960,95961,95962,95963,95965,95966,95967,95968,95969,95970,95972,95973,95974,95977,95979,95981,95982,95987,95988,95991,95993,96007,96021,96022,96029,96035,96055,96059,96061,96063,96074,96075,96076,96078,96080,96090,96092"
AD04,"94503,94508,94515,94534,94558,94559,94562,94567,94573,94574,94576,94591,94599,94928,94951,94954,95404,95405,95407,95409,95422,95423,95424,95426,95431,95435,95442,95443,95451,95452,95453,95457,95458,95461,95464,95467,95469,95476,95485,95493,95606,95607,95612,95615,95616,95618,95620,95627,95637,95645,95653,95679,95687,95688,95691,95694,95695,95697,95698,95776,95912,95932,95937,95950,95957,95987"
AD05,"93512,93514,93517,93529,93541,93546,93601,93602,93604,93610,93614,93622,93623,93626,93636,93637,93638,93643,93644,93645,93653,93669,93720,95221,95222,95223,95224,95225,95226,95228,95229,95230,95232,95233,95236,95245,95246,95247,95248,95249,95251,95252,95254,95255,95257,95305,95306,95309,95310,95311,95318,95321,95325,95327,95329,95333,95335,95338,95345,95346,95347,95364,95369,95370,95372,95375,95379,95383,95389,95601,95603,95613,95614,95619,95623,95629,95633,95634,95635,95636,95640,95642,95646,95651,95656,95658,95663,95664,95665,95666,95667,95669,95672,95675,95682,95684,95685,95689,95699,95709,95720,95721,95726,95735,95762,96107,96120,96133,96142,96150,96151"
AD06,"95602,95603,95610,95626,95628,95630,95648,95650,95658,95661,95662,95663,95664,95668,95672,95677,95678,95681,95682,95746,95747,95762,95765,95816"
AD07,"95605,95612,95621,95626,95660,95673,95691,95811,95814,95815,95816,95817,95818,95819,95820,95821,95822,95823,95824,95825,95826,95828,95829,95833,95834,95835,95837,95838,95841,95843,95864"
AD08,"95608,95610,95621,95624,95628,95630,95632,95638,95640,95652,95655,95660,95662,95670,95678,95683,95693,95742,95821,95825,95826,95827,95828,95829,95830,95841,95842,95843,95864"
AD09,"95220,95240,95242,95258,95615,95624,95632,95639,95690,95693,95757,95758,95822,95823,95824,95828,95829,95830,95831,95832"
AD10,"94901,94903,94904,94920,94922,94924,94925,94928,94929,94930,94931,94933,94937,94938,94939,94940,94941,94945,94946,94947,94949,94950,94951,94952,94954,94956,94957,94960,94963,94964,94965,94970,94971,94972,94973,95401,95404,95405,95407,95409,95433,95472,95476"
